[[0, 1], [0], []] [[], [1], [0, 1]]  0.00018486600796729924
[[1, 0], [1], []] [[], [0], [1, 0]] -0.00018486600796774333

[[1, 2], [1], []] [[], [2], [1, 2]] -0.0014832154769899083
[[2, 1], [2], []] [[], [1], [2, 1]]  0.0014832154769895945

[[0, 0, 1], [0, 0], [0], []] [[], [1], [0, 1], [0, 0, 1]]  0.023443493490230893
[[0, 1, 0], [0, 1], [0], []] [[], [0], [1, 0], [0, 1, 0]] -0.046886986980461565
[[1, 0, 0], [1, 0], [1], []] [[], [0], [0, 0], [1, 0, 0]]  0.02344349349023056

[[0, 1, 2], [0, 1], [0], []] [[], [2], [1, 2], [0, 1, 2]] -0.01671038654485163
[[0, 2, 1], [0, 2], [0], []] [[], [1], [2, 1], [0, 2, 1]] -0.031669557017181105
[[1, 0, 2], [1, 0], [1], []] [[], [2], [0, 2], [1, 0, 2]]  0.04837994356203301

[[2, 1, 0], [2, 1], [2], []] [[], [0], [1, 0], [2, 1, 0]] -0.016710386544852074
[[1, 2, 0], [1, 2], [1], []] [[], [0], [2, 0], [1, 2, 0]] -0.03166955701718066
[[2, 0, 1], [2, 0], [2], []] [[], [1], [0, 1], [2, 0, 1]]  0.04837994356203268

[[1, 2, 2], [1, 2], [1], []] [[], [2], [2, 2], [1, 2, 2]]  0.00017554598268173128
[[2, 1, 2], [2, 1], [2], []] [[], [2], [1, 2], [2, 1, 2]] -0.0003510919653631001
[[2, 2, 1], [2, 2], [2], []] [[], [1], [2, 1], [2, 2, 1]]  0.00017554598268131389
